sec,A,k,f,,,
0,7.955019743,1.761392178,0.052106501,,,
30,8.797897962,2.579936878,0.037808985,,,
60,6.053296819,1.586930445,0.039524687,,,
90,4.762283526,1.071703255,0.023003114,,,
120,13.57125616,2.831214626,0.085975726,,,
150,8.080772242,1.22913622,0.099256529,,,
180,9.847854878,2.358027147,0.092075999,,,
210,9.178525184,1.503282415,0.141195908,,,
240,10.6858064,2.055657789,0.153650632,,,
270,7.547932453,1.244492091,0.157781026,,,
300,7.419100602,1.157922434,0.066022749,,,
330,11.15296948,3.37522453,0.051598145,,,
